,pair,coint_score,pvalue
14,"('AOS', 'ARE')",-6.147111450464053,7.765736439293986e-07
26,"('AOS', 'ADM')",-6.019653881715002,1.4722962546281285e-06
41,"('AOS', 'BXP')",-5.993209076908218,1.6791726212430255e-06
713,"('APO', 'CRM')",-5.896522345818731,2.7054227639226955e-06
239,"('AOS', 'GWW')",-5.829891991251705,3.745082689081215e-06
377,"('ALB', 'TT')",-5.814829789355026,4.029126705200859e-06
594,"('APH', 'DAY')",-5.791340736986865,4.5143228202764854e-06
145,"('AOS', 'LEN')",-5.779343308402741,4.783583177880219e-06
153,"('AOS', 'MLM')",-5.734143218791838,5.945209570362958e-06
114,"('AOS', 'DOC')",-5.6821687843751825,7.620483870101943e-06
134,"('AOS', 'JBHT')",-5.651532457722023,8.81361197139717e-06
582,"('APH', 'CDNS')",-5.597582965281774,1.1368432416488975e-05
281,"('AMD', 'BXP')",-5.57663758496226,1.2542305713778389e-05
182,"('AOS', 'PKG')",-5.535517582918257,1.519715243227856e-05
46,"('AOS', 'CARR')",-5.532021048180617,1.5446430133708468e-05
457,"('GOOGL', 'AWK')",-5.5224730914052635,1.6147424022345755e-05
148,"('AOS', 'LMT')",-5.522114676386774,1.6174327977880834e-05
4748,"('KEY', 'RF')",-5.5142584340501175,1.677504315157036e-05
579,"('APH', 'BX')",-5.48499407195492,1.9208119039999662e-05
466,"('GOOG', 'AWK')",-5.463597889470678,2.1199106198174916e-05
16,"('AOS', 'ALLE')",-5.456300568024647,2.1922609397573383e-05
1978,"('CVX', 'CHD')",-5.452746795980688,2.228352270832377e-05
139,"('AOS', 'KIM')",-5.445908663111665,2.2994180724032653e-05
2972,"('EBAY', 'IBM')",-5.427742534146516,2.4989896817425414e-05
178,"('AOS', 'OMC')",-5.4259548364257135,2.5195082073281587e-05
5162,"('NEE', 'PEP')",-5.419521140845829,2.594704332109161e-05
1509,"('CCL', 'EPAM')",-5.401900885546938,2.8118885369380713e-05
641,"('APH', 'PNR')",-5.349500069800066,3.566259916746315e-05
174,"('AOS', 'NVR')",-5.3367906938899505,3.776673648461755e-05
2870,"('DPZ', 'VRSK')",-5.3146083213302475,4.1728521437132246e-05
4135,"('GPC', 'NOC')",-5.309228066646584,4.274802275499901e-05
3871,"('FDX', 'VTRS')",-5.306506838250333,4.3272743482580875e-05
390,"('ALGN', 'BX')",-5.2959316314972265,4.537130314315973e-05
228,"('AOS', 'USB')",-5.284782361910173,4.76895816319455e-05
142,"('AOS', 'LHX')",-5.2794489613921245,4.8838402653203364e-05
368,"('ALB', 'GNRC')",-5.275682638926927,4.966563955315807e-05
169,"('AOS', 'NDSN')",-5.2578176727473975,5.3776292320572074e-05
3881,"('FITB', 'ORCL')",-5.242590031517988,5.753620840002538e-05
36,"('AOS', 'BIIB')",-5.229390834662761,6.0998258839616395e-05
1188,"('BX', 'PNR')",-5.222231764980581,6.295873964097903e-05
5192,"('NRG', 'WFC')",-5.2219682792354645,6.303203504243842e-05
3121,"('ELV', 'TRMB')",-5.218511193825033,6.400132712566461e-05
4803,"('LEN', 'OMC')",-5.208796928702315,6.680212046310087e-05
133,"('AOS', 'IRM')",-5.186860357934747,7.356558409497889e-05
607,"('APH', 'GPN')",-5.18148227586773,7.532127948960295e-05
4711,"('JPM', 'NRG')",-5.1631871076361735,8.159932148168776e-05
197,"('AOS', 'PRU')",-5.158701252094617,8.321348544413066e-05
5010,"('MSFT', 'PYPL')",-5.146748503773569,8.766511835026807e-05
3810,"('EXR', 'NUE')",-5.1412138634335935,8.98027971014168e-05
96,"('AOS', 'FDX')",-5.1342153733443405,9.257735231258082e-05
5433,"('RMD', 'SNPS')",-5.125492397744921,9.615051588342058e-05
3083,"('ELV', 'KKR')",-5.122885123438205,9.724388522887027e-05
4644,"('JKHY', 'TRGP')",-5.120276483964113,9.834972274320306e-05
116,"('AOS', 'HOLX')",-5.115963525727953,0.00010020447094790926
125,"('AOS', 'IEX')",-5.115578497161697,0.00010037166561683635
193,"('AOS', 'PPG')",-5.112314225808012,0.0001017998995887068
230,"('AOS', 'UPS')",-5.108960382432251,0.00010328755407377441
2929,"('ETN', 'PKG')",-5.107949127451096,0.00010374017686873702
3888,"('FSLR', 'HUBB')",-5.106941738393202,0.00010419295442602127
635,"('APH', 'NCLH')",-5.098805861666003,0.0001079195557658388
58,"('AOS', 'CMCSA')",-5.093364418372588,0.00011048271827550563
135,"('AOS', 'J')",-5.092173407128316,0.00011105144704516153
4376,"('HWM', 'V')",-5.0834668060294455,0.00011529479850590616
73,"('AOS', 'DOW')",-5.080360911624019,0.00011684567312610491
217,"('AOS', 'TROW')",-5.07780914940469,0.00011813474403420999
2618,"('CSX', 'ORCL')",-5.075589557200935,0.00011926704962852471
2726,"('DLR', 'PKG')",-5.070971381941315,0.00012165628232942536
5460,"('CRM', 'SYF')",-5.066082772722588,0.00012423519988967544
1103,"('BAC', 'EPAM')",-5.05344683783954,0.00013114516457130788
199,"('AOS', 'PTC')",-5.047564790647034,0.00013448548675800236
231,"('AOS', 'URI')",-5.040461319442028,0.00013862771322830812
98,"('AOS', 'FITB')",-5.032099335847144,0.00014365983096381704
151,"('AOS', 'MKTX')",-5.030072739873532,0.0001449053803621229
163,"('AOS', 'MHK')",-5.021216856932524,0.00015047008073595995
4586,"('JKHY', 'NWS')",-5.005455157751987,0.00016088178602922487
4157,"('GPC', 'TXN')",-4.999748519893785,0.00016481800400976
1070,"('AVY', 'PHM')",-4.999535148889393,0.00016496694433233965
625,"('APH', 'KKR')",-4.994714612777292,0.00016836622128863605
553,"('AMP', 'HBAN')",-4.981896855662024,0.00017773248926083632
640,"('APH', 'PYPL')",-4.977449173951792,0.00018109695419381473
186,"('AOS', 'PNR')",-4.971912409032784,0.00018537003333390188
4454,"('PODD', 'WFC')",-4.970518698118915,0.00018646067554029818
1049,"('AVB', 'ORCL')",-4.962861027851739,0.00019256296864092012
3072,"('ELV', 'GDDY')",-4.961561773428264,0.00019361700595215282
5610,"('TSCO', 'XYL')",-4.956586247955231,0.00019770446127184235
575,"('APH', 'ADSK')",-4.9561043325790015,0.00019810469300706547
915,"('AJG', 'WEC')",-4.948339527543378,0.00020466062242715684
668,"('APH', 'VMC')",-4.940433428972275,0.0002115475855427852
4047,"('FCX', 'LMT')",-4.940331884812913,0.0002116374573545963
5259,"('PLTR', 'TPR')",-4.937478026517518,0.00021417816913027867
177,"('AOS', 'ODFL')",-4.93531484564268,0.00021612328510048156
146,"('AOS', 'LII')",-4.928574843947337,0.00022229210667472775
5167,"('NI', 'TTWO')",-4.91624041320999,0.00023401710894500432
170,"('AOS', 'NSC')",-4.9062669635593,0.00024392507096037528
434,"('ALLE', 'PHM')",-4.905015060909218,0.00024519653748821386
1553,"('CBOE', 'DUK')",-4.895288185993167,0.00025529207673133587
985,"('ADP', 'DPZ')",-4.8824099389346225,0.0002692667173870018
103,"('AOS', 'BEN')",-4.881264777570935,0.00027054391864218374
675,"('APH', 'ZBRA')",-4.880004836048643,0.0002719557760870557
7,"('AOS', 'AMD')",-4.876413169835546,0.0002760189765450495
108,"('AOS', 'GNRC')",-4.87194832520305,0.0002811503229502925
3892,"('FSLR', 'JBHT')",-4.86984103500148,0.0002836034999473017
660,"('APH', 'TROW')",-4.869268212135166,0.00028427384666923573
33,"('AOS', 'BALL')",-4.867614778164359,0.0002862172205141805
5325,"('PNR', 'USB')",-4.867218886406418,0.0002866844006550007
127,"('AOS', 'IR')",-4.864971321444078,0.00028935042460769353
50,"('AOS', 'CRL')",-4.858445787922014,0.0002972247797198317
884,"('ADM', 'KR')",-4.857951054250898,0.0002978299884477582
406,"('ALGN', 'PNR')",-4.853635968715491,0.0003031584079401093
4478,"('IFF', 'MHK')",-4.8528757004761784,0.0003041065291018676
4281,"('HES', 'PAYX')",-4.852417058368634,0.00030467985471672234
4581,"('JKHY', 'NDAQ')",-4.848705883719725,0.0003093568448823076
128,"('AOS', 'IFF')",-4.847917335521821,0.00031035933675360565
821,"('ACGL', 'NEE')",-4.846243251188299,0.000312497839375921
38,"('AOS', 'BX')",-4.845608014289197,0.0003133129504791215
5140,"('NDAQ', 'RCL')",-4.8454098963329395,0.00031356757962712435
4999,"('MU', 'TXN')",-4.841897861539859,0.00031811407106648395
5379,"('PRU', 'TT')",-4.841288024280009,0.0003189098716660233
203,"('AOS', 'RF')",-4.835312209654489,0.00032680839788319757
5221,"('ODFL', 'ORCL')",-4.822521472836828,0.0003443417871609246
647,"('APH', 'PTC')",-4.816912820057195,0.00035230776395427885
1441,"('CHRW', 'TT')",-4.811543333740203,0.0003600972696927044
150,"('AOS', 'MTB')",-4.809963012166517,0.00036242071161932864
3774,"('EXE', 'FCX')",-4.804900586745802,0.0003699595561960378
31,"('AOS', 'AVB')",-4.803771159008376,0.0003716616020952862
2504,"('STZ', 'EIX')",-4.803722566900919,0.00037173499632277204
4834,"('LKQ', 'YUM')",-4.798911980055505,0.0003790692499934525
577,"('APH', 'TECH')",-4.798470039668976,0.0003797498582945196
3290,"('ENPH', 'WTW')",-4.795919535249757,0.0003837003943251505
1144,"('TECH', 'ZBRA')",-4.793451668834689,0.00038755991335695115
2857,"('DPZ', 'JNPR')",-4.791045732967709,0.0003913579062449778
1681,"('CNC', 'GRMN')",-4.790537959875944,0.00039216395919053126
2275,"('CVX', 'VRSK')",-4.789113959828099,0.0003944328400490734
415,"('ALGN', 'USB')",-4.786835506099311,0.0003980889752250112
2719,"('DLR', 'FDX')",-4.784739188439318,0.00040148113102644515
141,"('AOS', 'KR')",-4.783758064622609,0.0004030781085069158
2742,"('DLTR', 'EW')",-4.778800636221489,0.00041123958713907465
4905,"('MTB', 'ORCL')",-4.778221684840751,0.0004122028453335383
4307,"('HES', 'TMUS')",-4.777753977530042,0.00041298257294479637
5529,"('LUV', 'UBER')",-4.776866276755181,0.0004144663190092941
5009,"('MSFT', 'MSCI')",-4.774700674808459,0.00041810717962423684
144,"('AOS', 'LDOS')",-4.771204362184012,0.00042404913143475416
5470,"('SRE', 'VTRS')",-4.766266519847405,0.00043257701706983883
5064,"('MOH', 'ROK')",-4.765809423163032,0.00043337458655220805
5137,"('NDAQ', 'NTRS')",-4.761085396307578,0.0004416991335663545
451,"('LNT', 'VZ')",-4.758988699487741,0.00044544207190561763
5565,"('TSCO', 'TFC')",-4.756580923766754,0.0004497772887824535
2732,"('DLR', 'VTRS')",-4.755263973269265,0.0004521652953314418
3076,"('ELV', 'INCY')",-4.754586370790403,0.0004533986423250298
614,"('APH', 'HBAN')",-4.7544230174607796,0.0004536964469452596
5032,"('MHK', 'PKG')",-4.753926342401984,0.00045460305566874
63,"('AOS', 'DRI')",-4.753333534775982,0.00045568738020229166
4660,"('JKHY', 'UAL')",-4.751685507537393,0.00045871469035197544
3038,"('EBAY', 'TKO')",-4.748957255918555,0.00046376807772737264
1446,"('CHRW', 'VRSN')",-4.745675014230111,0.00046991724963672403
65,"('AOS', 'DAY')",-4.740825637588455,0.0004791434259979814
119,"('AOS', 'HST')",-4.7400520667824155,0.00048063090196952447
4497,"('IPG', 'PPG')",-4.73962364395546,0.00048145657756773025
5040,"('MOH', 'MCO')",-4.739495728059857,0.00048170336220839505
192,"('AOS', 'POOL')",-4.736048422555779,0.0004883992937464852
3550,"('ERIE', 'JKHY')",-4.731617273148946,0.0004971352748443214
3438,"('EQT', 'GIS')",-4.731454509350698,0.0004974589529908492
160,"('AOS', 'MU')",-4.7297898676734045,0.0005007807569835575
678,"('ANSS', 'CCL')",-4.7285637422314855,0.0005032408709366512
680,"('ANSS', 'DAL')",-4.726719390183793,0.0005069628862136165
4742,"('KEY', 'MTB')",-4.725052595266054,0.0005103489051192641
3015,"('EBAY', 'PCG')",-4.719395522372159,0.0005220007426834093
1375,"('CHRW', 'GL')",-4.716654955892885,0.0005277352535526296
5084,"('MOH', 'UAL')",-4.715415013151014,0.0005303492490948553
1217,"('BA', 'WSM')",-4.710665172691637,0.0005404760515866584
1254,"('BMY', 'WTW')",-4.709685462671169,0.0005425873759104309
764,"('ACGL', 'DHI')",-4.7082222767181765,0.0005457550967407606
1368,"('CHRW', 'FSLR')",-4.70776198765086,0.000546755197500507
5108,"('MOS', 'RVTY')",-4.707650815966138,0.0005469970065037194
643,"('APH', 'PNC')",-4.701509800543399,0.0005605119718861283
67,"('AOS', 'DELL')",-4.70007844580837,0.0005637069634962159
578,"('APH', 'BLK')",-4.699903587606433,0.0005640984465467193
677,"('ANSS', 'BAC')",-4.697747410294634,0.0005689469296065681
590,"('APH', 'KO')",-4.696956023536829,0.0005707363094045446
42,"('AOS', 'CHRW')",-4.695033923103679,0.0005751044129355069
648,"('APH', 'PWR')",-4.691134594100739,0.0005840628363049243
5608,"('TSCO', 'WYNN')",-4.691067646154928,0.0005842177859483513
5614,"('TSCO', 'ZTS')",-4.691055948701288,0.0005842448634375665
3786,"('EXE', 'PHM')",-4.688241875407554,0.0005907933942672902
94,"('AOS', 'FAST')",-4.683027531824841,0.0006031106158969858
4487,"('IP', 'SNA')",-4.6784680489413235,0.0006140787026945545
4319,"('HES', 'VRSK')",-4.677687880113232,0.000615974154192815
414,"('ALGN', 'TROW')",-4.6715719480338835,0.0006310250161181363
325,"('AFL', 'CI')",-4.670627705335203,0.0006333793442602713
179,"('AOS', 'ON')",-4.668502676100262,0.0006387080572818986
4292,"('HES', 'DGX')",-4.668033100884267,0.0006398912391958126
807,"('ACGL', 'LHX')",-4.662594827845568,0.0006537450744971883
615,"('APH', 'IEX')",-4.658948409295893,0.0006631917175917865
4733,"('K', 'VRSN')",-4.658820428768079,0.0006635255930023584
138,"('AOS', 'KEY')",-4.657376532879567,0.000667303396535896
1358,"('CHRW', 'ETN')",-4.651455562500975,0.0006830075829526004
5578,"('TSCO', 'VLO')",-4.650606615587475,0.0006852875254398244
129,"('AOS', 'IPG')",-4.649360379629956,0.0006886473984915042
4929,"('MTCH', 'MPWR')",-4.64851247700975,0.0006909422051102562
69,"('AOS', 'DLR')",-4.647237954033529,0.0006944051682506859
653,"('APH', 'SRE')",-4.646438321065069,0.0006965861468211628
5324,"('PNR', 'TROW')",-4.64634099104244,0.0006968520511560425
2664,"('DECK', 'PYPL')",-4.645124789112689,0.0007001827544799889
667,"('APH', 'VTRS')",-4.643723913135563,0.0007040377525235589
734,"('ACGL', 'ADM')",-4.6388554414619625,0.0007175907531486045
4505,"('IPG', 'VLTO')",-4.637578794331356,0.0007211850875633803
37,"('AOS', 'BLK')",-4.637316815638491,0.000721924764175159
595,"('APH', 'DECK')",-4.635487254270072,0.0007271102971412297
4705,"('JCI', 'NWS')",-4.63509880781219,0.0007282157673719243
602,"('APH', 'FDS')",-4.634199923144189,0.0007307799394811743
13,"('AOS', 'ALB')",-4.631273118620351,0.0007391878889568316
1389,"('CHRW', 'IRM')",-4.627515940008003,0.0007501145322230315
2698,"('DVN', 'LYB')",-4.625975794872944,0.0007546372809958429
121,"('AOS', 'HUBB')",-4.625533616053846,0.0007559404960236969
2523,"('GLW', 'ISRG')",-4.623978394157724,0.0007605409466454966
4330,"('HES', 'WELL')",-4.6233994631313395,0.0007622601690380554
4030,"('BEN', 'ORCL')",-4.621467107162051,0.0007680250476337098
1569,"('CBRE', 'HSIC')",-4.620971100031647,0.0007695113959354456
968,"('ADSK', 'NCLH')",-4.61902362935812,0.0007753734005371294
5524,"('SO', 'TSLA')",-4.618180205568107,0.0007779251463484366
4751,"('KEY', 'SNPS')",-4.615340525261765,0.0007865745683054675
2381,"('CFG', 'TFC')",-4.614336130833465,0.0007896554212486424
1392,"('CHRW', 'K')",-4.610558264824444,0.0008013452727153281
5631,"('USB', 'VTRS')",-4.609574022304088,0.0008044173764558667
380,"('ALB', 'GWW')",-4.607907278564828,0.0008096449837035058
61,"('AOS', 'CSX')",-4.607636923828902,0.0008104959286428384
1413,"('CHRW', 'NVR')",-4.607408098164721,0.000811216816034737
1193,"('BX', 'TROW')",-4.604898467100494,0.0008191626891952702
4202,"('HAL', 'TT')",-4.6047724924266245,0.0008195634627426592
232,"('AOS', 'UHS')",-4.603401753069628,0.0008239362167017639
5065,"('MOH', 'RCL')",-4.601716417555908,0.0008293425571902368
2595,"('CTRA', 'TKO')",-4.600798793656672,0.000832300152866083
5438,"('RMD', 'USB')",-4.598697316046592,0.0008391107489938199
3563,"('ERIE', 'KHC')",-4.598033350278353,0.0008412734143740542
1088,"('BALL', 'DHI')",-4.597816165659939,0.0008419819608945533
4811,"('LII', 'PNR')",-4.597274998904486,0.0008437499076866866
788,"('ACGL', 'GD')",-4.597200008127143,0.0008439951708265417
225,"('AOS', 'TT')",-4.593031929419194,0.0008577328250135112
4676,"('JKHY', 'DIS')",-4.592644286731583,0.0008590210667139541
1003,"('AZO', 'CNP')",-4.590953040432935,0.0008646627921643189
789,"('ACGL', 'GIS')",-4.584851501935239,0.0008853066309690794
60,"('AOS', 'COO')",-4.582697020290392,0.0008927057945411287
4970,"('MTD', 'QCOM')",-4.582383774471437,0.0008937863927220589
4295,"('HES', 'ROL')",-4.582380237128429,0.0008937986024252023
1484,"('COF', 'PODD')",-4.581242491652628,0.0008977338342673292
4978,"('MU', 'MHK')",-4.581114895227271,0.0008981761758428137
4908,"('MTB', 'SNPS')",-4.579728105617329,0.0009029969860679868
2829,"('D', 'NUE')",-4.5785872686720674,0.0009069809753733825
4744,"('KEY', 'ORCL')",-4.57812237937992,0.0009086091639246517
4155,"('GPC', 'SMCI')",-4.577846581273925,0.0009095763897526822
2548,"('CSGP', 'HIG')",-4.576417387023869,0.0009146040575502286
5617,"('TT', 'GWW')",-4.576102931338796,0.0009157137499793355
4342,"('HOLX', 'IRM')",-4.574470222122962,0.0009214957774155302
47,"('AOS', 'CAT')",-4.57313631557552,0.0009262450055343373
3629,"('ERIE', 'PG')",-4.573014252621133,0.0009266807406607222
1924,"('CNP', 'TGT')",-4.5714749456627946,0.0009321922001851159
2657,"('DAY', 'DLR')",-4.566208411866607,0.0009512820667896331
2436,"('KO', 'WST')",-4.565488349509611,0.0009539203856634291
3114,"('ELV', 'LUV')",-4.564673303622816,0.0009569149935712734
3953,"('FE', 'NUE')",-4.564072943946362,0.0009591264388134306
3781,"('EXE', 'MKTX')",-4.561272010784861,0.000969507168330869
4286,"('HES', 'PPL')",-4.559827980666704,0.0009748999971761687
911,"('AJG', 'PM')",-4.55962409546024,0.0009756636792321842
1060,"('AVY', 'DHI')",-4.553927616818621,0.000997228486602479
246,"('AOS', 'ZBRA')",-4.552931738457318,0.0010010440377253673
751,"('ACGL', 'CMCSA')",-4.552327962771723,0.001003363958196527
1109,"('BAC', 'RJF')",-4.552299574186957,0.001003473160981687
4808,"('LII', 'PCAR')",-4.5508205321989665,0.0010091780253712157
860,"('ADM', 'BALL')",-4.549850965241292,0.001012934231569319
5117,"('MSI', 'SRE')",-4.547249791519336,0.0010230761941807482
4822,"('LII', 'USB')",-4.546143278001826,0.0010274192262635957
2153,"('CVX', 'MAA')",-4.5431152257076155,0.0010393925990689035
2630,"('CVS', 'MMC')",-4.541935028833107,0.0010440945311354565
1087,"('BALL', 'DRI')",-4.537669647445554,0.0010612543339585927
238,"('AOS', 'VMC')",-4.531224333967834,0.0010876851901641222
1106,"('BAC', 'MAR')",-4.526584790153949,0.0011070905799951756
684,"('ANSS', 'NCLH')",-4.525790748354337,0.0011104440055430445
2907,"('DTE', 'WST')",-4.524585523726483,0.0011155521003680953
95,"('AOS', 'FRT')",-4.523870933851908,0.001118591104132175
4348,"('HOLX', 'VRSN')",-4.523687538166686,0.0011193722950883242
2734,"('DFS', 'PODD')",-4.523380503065063,0.0011206812811385017
4244,"('HES', 'IBM')",-4.519349907910121,0.0011379981508862836
107,"('AOS', 'GEN')",-4.518936645109399,0.001139787737737672
3986,"('F', 'LHX')",-4.518082622912008,0.0011434943176773663
272,"('ADBE', 'POOL')",-4.515823399136382,0.0011533540530284801
6,"('AOS', 'ADBE')",-4.515788030953141,0.0011535090369077406
4300,"('HES', 'SWKS')",-4.515347247338179,0.00115544218992965
1076,"('BKR', 'CAG')",-4.5144263429987035,0.001159490788968952
4633,"('JKHY', 'SW')",-4.513999919479711,0.0011613699729577705
2219,"('CVX', 'ROL')",-4.5122639083061875,0.0011690497190401153
2940,"('EBAY', 'EIX')",-4.5122629669388,0.001169053896288985
162,"('AOS', 'MRNA')",-4.511507239288146,0.0011724118845394614
235,"('AOS', 'VRSN')",-4.510715828370253,0.001175938083415459
3864,"('FDX', 'PKG')",-4.50920274280604,0.0011827073551402623
5110,"('MOS', 'UNP')",-4.50651606872509,0.0011948168121465282
2367,"('CSCO', 'TPR')",-4.502971869694738,0.0012109684858834565
2258,"('CVX', 'TRV')",-4.498970248294089,0.0012294496501629231
4793,"('KR', 'UPS')",-4.498146120490647,0.001233288367725964
1038,"('AVB', 'HPQ')",-4.496397034997827,0.0012414725579122554
597,"('APH', 'DTE')",-4.496118814544662,0.0012427790496825429
92,"('AOS', 'FDS')",-4.495369812954713,0.001246302656662181
2468,"('CAG', 'EQT')",-4.492590403363236,0.001259459783900155
5229,"('ORCL', 'RF')",-4.492440304942775,0.0012601739933669341
2220,"('CVX', 'ROP')",-4.491103527597094,0.0012665514386648565
3279,"('ENPH', 'VRSK')",-4.490544248673744,0.0012692285497210036
4427,"('IDXX', 'XYL')",-4.489404081159741,0.0012747025724982898
5048,"('MOH', 'NOC')",-4.488448605597659,0.0012793068321252732
191,"('AOS', 'PNC')",-4.488430074878949,0.0012793962814085084
732,"('AMAT', 'TGT')",-4.48658283234718,0.0012883424108463706
2389,"('CLX', 'FDX')",-4.483746010128559,0.0013021947283003601
4267,"('HES', 'MRK')",-4.48360258162827,0.0013028987716262703
5302,"('PAYX', 'SWKS')",-4.4830442998520645,0.0013056425751203798
4675,"('JKHY', 'WMT')",-4.4826858648344485,0.001307407025809167
698,"('AON', 'DGX')",-4.47997726453508,0.0013208125972442148
2639,"('DHR', 'KR')",-4.479611852570219,0.0013226308982202256
5073,"('MOH', 'STT')",-4.479378682152156,0.0013237923809593212
1974,"('CHTR', 'PAYC')",-4.477962189968685,0.0013308687627570427
1020,"('AZO', 'NVDA')",-4.476764807489151,0.0013368780296670515
596,"('APH', 'DLR')",-4.476501655849092,0.0013382020873408996
3756,"('EG', 'PCG')",-4.476041818507554,0.0013405187121452247
2802,"('D', 'HAS')",-4.4752684880217455,0.001344423124641764
1091,"('BALL', 'FCX')",-4.474883946372534,0.0013463685536052347
901,"('ADM', 'TXT')",-4.474689454676917,0.00134735350275325
2977,"('EBAY', 'INTU')",-4.472977589074153,0.0013560517929314972
3743,"('EL', 'PPL')",-4.472900813716238,0.0013564431258648738
5381,"('PRU', 'VRSN')",-4.471569103429352,0.001363247780154545
947,"('ATO', 'ROL')",-4.470573912088093,0.0013683536795894512
4593,"('JKHY', 'NRG')",-4.469219791278951,0.0013753297228503087
120,"('AOS', 'HPQ')",-4.468825544768294,0.0013773669897887348
54,"('AOS', 'CLX')",-4.46671258886826,0.0013883336931495712
1927,"('CF', 'DECK')",-4.466193296197646,0.0013910413643689248
4353,"('HD', 'NCLH')",-4.464350805606233,0.0014006881467646072
4585,"('JKHY', 'NWSA')",-4.464154667986677,0.0014017187332213924
242,"('AOS', 'WDC')",-4.464103492006378,0.0014019877487400632
862,"('ADM', 'BXP')",-4.464000144256036,0.001402531160994124
293,"('AMD', 'HOLX')",-4.4615847181878845,0.001415287730194039
4649,"('JKHY', 'TPL')",-4.460964841197284,0.0014185788670570782
3297,"('ETR', 'FOX')",-4.459649548469225,0.0014255858297961724
4544,"('JKHY', 'KEYS')",-4.457925645857569,0.0014348184065373258
109,"('AOS', 'GD')",-4.456356198787639,0.0014432721810317794
566,"('AMGN', 'STE')",-4.452704045983467,0.0014631242851540027
1350,"('CHRW', 'DRI')",-4.451628391012338,0.0014690195478182556
5069,"('MOH', 'SPG')",-4.448243286546887,0.0014877166783771266
181,"('AOS', 'PCAR')",-4.447003740724021,0.0014946183695237717
1544,"('CAT', 'PRU')",-4.446360451074227,0.001498211891159845
1065,"('AVY', 'LEN')",-4.445821661268067,0.0015012278468471746
4052,"('FCX', 'NEE')",-4.444628086852561,0.0015079291942059342
3296,"('ETR', 'FOXA')",-4.441597911430787,0.0015250674516697805
4085,"('GNRC', 'TT')",-4.440728443431905,0.0015300184103478542
1957,"('CRL', 'ON')",-4.440419076266593,0.001531783625779807
745,"('ACGL', 'CPB')",-4.439402250547202,0.0015375988830452674
2243,"('CVX', 'TMUS')",-4.437821909672524,0.0015466776891304623
3602,"('ERIE', 'NEE')",-4.43745443380219,0.0015487959147268936
375,"('ALB', 'PRU')",-4.435984847583271,0.0015572939979095182
3808,"('EXR', 'NDSN')",-4.435544109134774,0.0015598510717955126
2987,"('EBAY', 'LW')",-4.434480178107186,0.0015660398854624828
782,"('ACGL', 'F')",-4.433197563959979,0.0015735311298998248
426,"('ALLE', 'DHI')",-4.430364464116094,0.0015901964364750344
210,"('AOS', 'SRE')",-4.429472930571971,0.001595474618553917
5355,"('PPL', 'RSG')",-4.428279058558762,0.0016025682677026196
4982,"('MU', 'NXPI')",-4.427529492397442,0.0016070369538481678
4634,"('JKHY', 'SNA')",-4.427053974356509,0.00160987785247583
4546,"('JKHY', 'KMI')",-4.426576228618118,0.0016127367623937556
4269,"('HES', 'MAA')",-4.425419702354606,0.0016196771664756051
1092,"('BALL', 'LDOS')",-4.425253320368994,0.0016206779197011892
2964,"('EBAY', 'GM')",-4.424980547115129,0.0016223198383990957
1514,"('CCL', 'SYF')",-4.422492894661479,0.0016373654297097983
4057,"('GRMN', 'HII')",-4.422280670447916,0.0016386549718413886
2067,"('CVX', 'GILD')",-4.421766935874944,0.0016417804973409107
1341,"('CHRW', 'CRL')",-4.4210424493384135,0.0016461976425299503
2629,"('CVS', 'ICE')",-4.4206154644570885,0.0016488061118043703
1426,"('CHRW', 'PRU')",-4.419971219492428,0.00165274910510189
4329,"('HES', 'WEC')",-4.419561642216397,0.0016552604096487515
4760,"('KEYS', 'STT')",-4.419028807149458,0.0016585327724253226
662,"('APH', 'USB')",-4.4132722934181405,0.0016942713645991556
3034,"('EBAY', 'TPR')",-4.409554975364411,0.001717728719531171
814,"('ACGL', 'MKTX')",-4.409232482187258,0.001719777903429884
4285,"('HES', 'PM')",-4.408699532947033,0.0017231693439679575
2989,"('EBAY', 'LDOS')",-4.408670391514359,0.0017233549654855239
4684,"('JKHY', 'WSM')",-4.408416168919627,0.0017249750693259017
2432,"('CMS', 'WST')",-4.407872451841985,0.0017284448067020283
4294,"('HES', 'RSG')",-4.4077583703020515,0.0017291736418305764
5626,"('TRV', 'VICI')",-4.4069765020214575,0.0017341764681015385
2653,"('DRI', 'NVR')",-4.406273519120645,0.0017386860167708882
3779,"('EXE', 'LEN')",-4.4055117282044085,0.0017435851067632386
4017,"('BEN', 'GEN')",-4.4046956214506165,0.0017488477254592749
4670,"('JKHY', 'VST')",-4.402987877977118,0.0017599077797905403
4836,"('LMT', 'MKTX')",-4.402921864631277,0.001760336610714863
2610,"('CSX', 'FITB')",-4.40169970611141,0.0017682934536687703
5021,"('MRNA', 'MHK')",-4.401414201553444,0.0017701570322730805
5374,"('PLD', 'UNP')",-4.399872567120145,0.0017802513166158293
2414,"('CME', 'FSLR')",-4.399371098559641,0.0017835463257023408
5552,"('TROW', 'USB')",-4.398503479311376,0.0017892605845663174
295,"('AMD', 'IRM')",-4.396343064433459,0.001803563309245681
4200,"('HAL', 'PRU')",-4.394169083490507,0.0018180629203438576
829,"('ACGL', 'PEP')",-4.393935865827953,0.0018196248013072197
450,"('LNT', 'TMUS')",-4.392841625829116,0.0018269696748182103
3883,"('FITB', 'SNPS')",-4.392721629792166,0.0018277767969125437
3440,"('EQT', 'MKTX')",-4.39162627271806,0.0018351597439601984
